Region,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09
Total,264474,264035,263470,262630,261823,260425,258959,257163,255680,254426,253440,251459,250134,249292,248895,248952,249460,249330,248705,248058,248189,249144,249657,250066,252332,253063,253977,254180,254179,254207,254273,254646,255658,256639,257252,257685,256960,257770,258966,260724,262134,263642,274990,276080,277359,278709,279746,280443,280494,280335,280234,280278,280468,280692,281061,281537,281340,282377,283165,283287,283255,283334,283908,284256,284784,286026,286673,287768,287993,288461,289072,313552,315961,318503,319757,320248,320271,320157,320135,320944,323915,325205,325441,325014,349426,348312,347165,345809,344891,344322,344195,344332,344798,346156,348031,351787,366793,368783,372016,373252,373608,375821,380260,383529,386235,387973,391180,396418,401083,406808,410921,414983,419019,426064,491728,498221,504121,509748,513344,514584,514577,514114,513420,513028,512185,511359,509978,506802,502163
Seoul,540954,538876,536079,532409,529733,525131,521123,515846,511823,508217,505494,499900,496180,494168,493675,494492,495511,493908,490682,488116,488428,490519,490840,490524,490995,492451,494338,494478,494042,493673,493652,494256,496425,498452,499009,498927,500454,502150,504979,508683,512004,515481,537536,540479,543833,547153,549204,551299,551346,550462,550313,550936,552227,553603,555720,558017,554800,559311,562096,562278,562025,562529,565946,567740,570287,576774,579325,582818,582609,584459,587516,659905,673522,686220,691838,693673,694435,694739,695931,702383,716453,720347,719724,717749,810129,806027,802157,799211,797617,797214,798302,799721,801480,807121,813573,827228,877128,877185,876857,873791,870742,871897,881834,886216,888511,889368,890267,893100,897254,903824,907112,911604,917127,928126,1109300,1119250,1130427,1140659,1148288,1151469,1151721,1150842,1150146,1150416,1148808,1148214,1146116,1141614,1133698
Gyeonggi,283106,282765,281913,280914,279776,278318,276513,274251,271879,269861,268090,265669,263679,262280,261285,261065,261526,261571,260887,260116,260103,261088,261539,262059,264497,265342,266580,266507,266261,266134,266125,266520,267930,269061,269815,270360,270250,271274,272571,274623,276293,277964,287534,288662,289937,291476,292610,293223,293358,293362,293291,293230,293308,293569,293846,294234,296573,297113,297698,297830,297826,297817,297890,298147,298483,298993,299812,301247,302000,302598,303176,320920,321896,323802,325231,326362,326840,327185,327297,327732,330735,333158,334458,334469,355541,354658,353599,351599,350168,349317,349249,349695,350665,352063,354143,357767,378093,383242,391027,395275,397329,400898,406661,411193,415139,417481,422192,428430,435503,445540,452826,459543,465274,475895,574980,586528,595994,604334,608837,610363,610125,609289,608022,607107,606059,604716,602694,598057,591387
Incheon,213885,213345,212904,212441,211410,210325,208975,207507,206262,204798,203841,202523,200792,199521,198613,198803,198975,198906,198652,198262,198428,199825,200720,201236,208264,208972,210232,210733,211004,211121,211299,211647,212331,213001,213614,213870,214626,215182,216256,217981,219230,220569,229480,230134,230948,231698,232615,233204,233304,233258,233324,233453,233573,233891,234244,234693,237977,238410,238868,239023,238988,239143,239215,239343,239510,239925,240175,241043,241722,242268,242772,259746,259720,259991,260130,260092,259964,259834,259501,258676,258424,258735,259280,259838,271507,271187,271290,271245,271141,271150,271014,270529,271206,271693,272516,274008,292262,294635,305255,311097,314314,318708,321070,322046,322873,323781,325645,328504,333219,340301,348126,356590,364657,376446,407147,416222,424484,432650,437860,439965,440075,439741,438699,438161,436327,434955,433024,428030,421662
Busan,220945,220211,219657,218852,218091,216776,215742,214471,213812,213501,213159,212792,212029,211543,211226,211163,211226,211071,210624,210403,210323,210578,210837,211065,212841,213118,213302,213504,213682,213954,214303,214584,215037,215522,216050,216612,217114,217596,218433,219658,220524,221693,237179,237797,238702,240069,241606,242432,242576,242746,242939,243310,243621,244143,244817,245917,248018,250068,252401,253673,254377,254931,255306,256009,256994,257901,258554,259110,259166,259093,258951,295127,294662,294103,293482,292654,291929,290841,289957,288613,287686,286998,286000,284824,286979,286234,285387,284237,283320,282316,281421,280739,280051,279576,280010,282744,293320,293719,293869,293628,293705,294232,297860,301641,305813,309186,317342,328150,334903,340103,343111,345651,349643,357195,416912,422405,427075,432025,435433,436390,436477,436308,436143,436209,436199,435832,434721,432045,427887
Daegu,173973,174681,175627,176435,176800,176922,176913,177268,177497,177838,178142,178616,179567,179950,180251,181879,183502,185337,187904,189282,190285,191806,193837,196511,200266,201950,203194,204525,205357,205856,206427,207244,208527,209836,211531,213401,214446,215765,217405,220122,222296,224775,257462,259247,261865,263877,265353,265380,264852,264237,263436,262650,262163,261227,260604,259862,258584,258343,258169,257830,257563,257264,257031,256755,256345,256288,256434,258509,259930,260826,261883,274786,276089,277122,278348,280192,281747,282575,283339,284127,285505,287900,290186,291985,301010,301172,301207,300930,300711,300462,300077,299664,299625,299953,300520,301426,311440,312203,312176,311639,311506,312112,313048,315333,318697,322476,328429,336686,342328,349161,354696,358298,361766,365349,406456,407443,407829,407759,407259,406446,404924,402981,399938,397135,393637,390649,388227,384500,379987
Gwangju,136544,136555,137294,137672,138470,139120,139444,139400,139373,139396,139551,140320,140341,140478,140606,140911,141099,141152,141124,141050,141024,141146,141344,141364,143063,143409,143641,143931,143991,144113,144333,144520,144800,145160,145486,145894,145904,146458,147435,149585,150687,152035,182302,182997,183032,183798,184723,185214,185191,185290,185282,185437,185403,185316,185072,184975,184977,185073,185186,185266,185411,185446,185451,185552,185677,185581,185801,185991,186223,186538,186751,198645,199020,199622,200240,200836,201405,201933,202783,203841,206391,208422,209286,210101,233935,234084,234174,234028,233594,233014,232514,232172,231987,231955,232058,232098,234795,234962,235014,234976,234781,234692,234753,234590,234530,234806,235687,240369,242475,243773,244850,246327,247921,251318,285104,287962,290980,294472,297160,298966,300047,300655,301150,301659,302027,302168,301924,301262,299032
Daejeon,205634,204258,203850,203209,202681,201057,199842,197911,197606,197750,198113,197903,197958,197748,197880,198459,198701,198755,198131,197619,197420,197869,198306,198757,203909,203733,203513,203237,202936,202692,202531,202520,202798,203133,203287,203253,203857,203870,203998,204104,204146,204166,206456,206415,206150,206354,206581,206395,206179,206030,206044,206017,206022,205974,206056,206194,210577,210740,211026,211281,211495,211708,211858,211931,211935,211875,211997,212794,213261,213782,214581,215472,216018,216719,217117,217367,217422,217556,217711,218187,218646,221082,223846,226001,241945,242256,242391,242538,243448,244651,245739,248456,251975,256712,261965,266658,283351,288119,294267,297965,299216,308667,312194,315099,320793,324401,329320,337173,342544,348897,354166,358719,362822,367603,386620,391392,394981,398615,400698,400749,399839,398777,397535,396418,395353,394217,392527,389041,383811
Ulsan,195867,197359,198584,199947,201169,201971,200864,200353,199942,199605,200196,199271,199022,198705,198385,198515,198617,198945,199234,198991,198915,199270,199693,199746,202489,202797,203181,203611,204156,205045,205818,206532,207242,207817,208287,208807,209738,210239,210742,211603,212361,213306,225099,225679,226642,227693,228654,229474,230060,230666,231017,231294,231628,231604,231207,230955,232098,232524,232567,232449,232153,231965,231888,231639,231328,230895,230503,230004,229708,229313,228421,244330,243398,242557,241905,240742,238710,236946,234876,232433,230873,228787,226564,224176,228610,227430,226303,224992,224167,223433,223024,222781,222605,223171,224383,226046,232432,234163,235633,236337,236837,238281,240574,243182,247128,250905,255889,267834,274755,278281,280242,281657,282904,285721,317412,320184,322340,324240,325425,325626,325358,325200,324859,324401,324125,323443,322558,320083,316955
Sejong,,,,,,,,,,,,143257,144635,146230,147811,148986,150351,150892,150284,149622,149986,151146,151492,151816,173256,173052,173077,172592,171747,171043,170043,169208,168476,169123,169100,169086,176808,177018,176924,177020,176909,177123,206891,206895,207029,207325,207340,207214,207337,207611,207760,207846,208044,208092,208316,208669,230415,230749,231431,231809,231911,231671,231534,232256,234788,241624,244114,245682,245657,245630,245631,285988,286645,287068,288000,288998,289896,290533,291527,291794,291271,291107,291771,292105,338627,338226,336720,334075,333160,331009,329262,328364,328136,328057,328163,331777,373034,382547,405333,414208,415734,426547,455479,501789,523888,529898,534018,538273,541534,544419,546018,547445,547383,545648,727277,724424,722917,720944,714120,695994,688375,682873,677986,673236,668836,663153,657690,648528,637416
Gangwon,117181,117749,118141,118336,118224,118249,118038,117774,117679,117600,117501,117413,117293,116944,116569,116347,116391,116033,115725,115597,115567,115925,116297,116672,117230,117196,117087,116896,116831,116701,116594,116511,116546,116713,116955,117198,117552,117721,117905,118267,118562,118846,126367,126561,126938,127371,127906,128116,128223,128325,128498,128671,128887,129117,129293,129467,128371,128829,129271,129585,129819,130001,130301,130765,131201,131437,131654,131823,132121,132398,132609,146059,145790,145655,145623,145207,144606,143786,143025,142187,141530,140684,139777,138720,147338,146861,146174,145569,144617,143758,142902,141925,140903,140380,140102,139583,141939,141897,142162,142106,141913,142279,143119,143807,144491,145128,145948,146930,148193,149812,151171,152347,153529,155205,175858,177756,179548,181520,183439,184559,185145,185620,186000,186520,186955,187167,187223,187051,186678
Chungbuk,132926,133166,133747,134184,134621,134849,134804,134675,134469,134493,134643,135084,134885,134891,134842,135231,135318,135413,135454,135393,135502,135638,135897,136281,137584,137796,138117,138328,138534,138775,140193,140409,140948,141663,142401,142973,143180,143579,144202,144945,145132,145358,151306,151503,151676,151728,151530,151351,151203,151072,150758,150420,150212,149851,149444,149062,151761,151543,151438,151288,151097,150958,150782,150535,150263,149951,149654,149355,149026,148833,148638,151836,151299,150766,150449,149793,148893,148114,147467,146731,146067,145097,144267,143478,149741,149069,148306,147264,146304,145248,144520,143863,143351,142721,142502,142508,146888,147137,147539,147860,148547,154150,155730,156354,156588,156766,157491,159920,161308,163077,165036,167153,169016,172045,207309,210054,212716,215930,218057,218724,219013,219062,218789,218616,218190,217931,217709,216586,215377
Chungnam,135428,135703,136574,137030,137398,137679,138058,138603,139069,139530,140047,141076,141586,141735,141982,142292,142828,143137,143399,143512,143771,144489,145628,146478,151027,151508,152188,152941,153357,153914,154410,154612,154684,155412,155839,156167,156258,156444,156683,157111,157314,157354,156226,156296,156305,156218,156241,155973,155668,155234,154806,154289,153797,153354,152827,152266,151452,151118,150584,150304,150016,149534,149240,148620,148254,147769,147566,147170,146948,146788,146434,146867,146626,146224,145862,145382,144866,144424,143900,143314,143055,142595,142290,141876,165971,165567,165007,164515,164140,163870,163696,163616,163495,163702,164139,164667,166483,167143,167491,167768,167973,168627,171998,174913,177257,178649,180549,183526,186077,188582,190820,193544,195663,198156,203828,206191,208315,211089,213074,214283,214733,214801,214636,214104,213455,212966,212622,211610,210288
Jeonbuk,140379,140747,141854,142285,141886,141302,140675,140258,139152,138434,137473,135665,134670,134524,134280,134208,134081,133748,133380,133137,132910,132929,133074,133199,133391,133293,133400,133280,133138,133027,132782,132653,132685,132740,132748,132555,132554,132570,132676,132739,132700,132665,134170,134470,134773,134924,135125,135316,135289,135221,135139,135160,135117,135039,135044,134994,134947,134900,134955,135068,135103,135229,135349,135519,135683,135849,136000,136238,136396,136614,136772,146397,146281,146195,146072,145938,145563,145165,144834,144638,144658,144622,144595,144485,146688,146460,145991,145311,144823,144337,143819,143277,142574,142207,141796,141631,144495,144712,145098,145441,145706,146170,147300,147922,148707,149288,150466,154218,154814,155192,155695,156384,157111,158805,184077,186005,187989,189704,191152,191895,192399,192729,193094,193662,194518,195007,195468,195072,194290
Jeonnam,110919,111259,111042,111823,111997,112330,112103,112269,112463,112510,112089,112025,111989,111660,111410,111110,110910,110690,110324,110041,109789,109783,109681,109497,110276,110168,109972,109995,109898,109641,109388,109197,109213,109145,109155,109014,109461,109212,109243,109383,109410,109630,113936,114138,114346,114579,115022,115220,115451,115636,115748,115890,116170,116233,116394,116588,117935,118170,118425,118695,118919,119019,119227,119451,119757,119986,120223,120805,121077,121379,121690,140506,140878,141409,141635,141818,141702,141774,141897,142019,142205,142531,142875,143090,155863,155933,155960,156009,155977,155916,155839,155927,155921,156004,156037,156028,157783,157887,157985,157976,157982,158385,158896,159525,159936,160638,161419,162118,162518,162721,162885,163197,163626,164564,183370,184438,185412,186461,187109,187361,187454,187330,187010,186845,186635,186095,185642,185004,183985
Gyeongbuk,108749,109063,109797,110379,110986,111403,111886,112494,113170,113734,114330,114554,115342,115891,116625,117393,118404,119262,120750,121328,122002,123069,123911,124904,126871,127927,128651,129322,129820,130198,130504,130834,131246,131878,132494,133241,134873,135350,136004,136663,137126,137824,147605,148155,148910,149265,149388,149172,148961,148693,148202,147617,146925,146151,145427,144698,144921,144550,144063,143461,143114,142701,142284,141692,141233,140889,140416,139939,139509,138890,138298,141061,140438,140024,139629,139100,138530,138038,137580,136738,135977,135312,134728,133977,142143,141501,140897,140003,139288,138684,138180,137594,137106,136803,136520,136277,138694,138599,138515,138384,138306,138523,139389,140410,141135,141543,142124,144082,146579,148616,149954,151117,152484,154284,168938,170455,171527,173048,174099,174761,175185,175254,175327,175522,175510,175287,174941,174229,173509
Gyeongnam,183351,183125,183019,182793,182198,181329,180342,179644,179390,179292,179112,177915,177287,176901,176842,177225,177571,177742,177686,177535,177585,177900,178147,178346,178656,178867,179230,179415,179780,180119,180518,180985,181486,182253,182843,183480,183705,184057,184395,184876,185254,185664,193362,193532,193949,194199,194446,194709,194632,194549,194381,194275,194073,193782,193425,193120,193817,193450,193044,192565,192256,192075,191934,191478,190970,190347,189491,188328,187416,186399,184893,185395,184346,183493,182661,181681,179983,178658,177260,175387,173864,172541,171467,170188,180001,179248,178528,177654,176755,175851,174723,173687,172776,172168,172050,172654,175444,176087,176599,176833,176734,177332,179220,180272,180955,181422,183682,189495,192282,193683,194688,195934,197255,199098,227129,229284,231632,235353,238549,240285,241152,241951,242645,243261,243801,244014,243549,241683,240101
Jeju,134994,139424,139830,141365,144561,144540,144571,144569,144533,144492,144337,143091,142668,142509,142437,142630,142617,142653,142595,142201,141897,141749,141711,141785,149126,149604,149259,149164,149321,148987,149065,149436,149989,150737,151257,153316,162603,163848,165019,166475,168042,169261,210933,213076,215442,217540,221428,228357,233898,238335,240057,240528,240446,240366,240466,240493,245516,246212,247931,249520,250536,250836,250887,250818,250439,249997,250272,251012,251047,251008,250997,298038,296765,296579,296789,295702,295115,294989,294256,292550,291765,291383,290999,290736,299618,299371,299115,298720,298566,298832,297994,297184,295973,294944,293958,293074,287394,286937,286456,285805,284935,284557,284294,284113,283991,283900,283823,284321,285892,288040,289720,292064,300453,317029,300698,309200,314618,320832,325368,327078,328114,329064,329764,330127,330643,331354,331434,330939,329905