Region,2012.10,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09
Total,79.73071692,79.55036417,79.32732949,79.07044618,78.89228091,78.81027562,78.95577607,79.15517334,79.21533101,79.17120678,79.06555083,79.14466184,79.49230292,79.72764633,79.92577268,80.22135414,80.47263625,80.76172911,80.85870438,80.892259,80.92683298,80.98908787,81.10841755,81.40712852,81.69931783,81.91691301,82.0899651,82.25777518,82.50127271,82.85404955,83.38830184,83.78485433,84.2265146,84.5247338,84.82474326,85.19832111,85.5781496,85.92745825,86.10465362,86.12505995,86.11368038,86.0838502,86.08199957,86.10064322,86.13608619,86.17681548,86.24334637,86.32756122,86.53101703,86.71912857,86.76142734,86.76857975,86.75989298,86.78978222,86.84293406,86.93477239,87.12471109,87.25682026,87.4634002,87.50771984,87.56936013,87.62703756,87.70050521,87.82752036,88.00661494,88.09337891,88.07126606,87.94036865,87.80525613,87.67974811,87.58894924,87.85559559,87.96912286,87.94328226,87.78061941,87.52636792,87.30385178,87.03169115,86.67669752,86.39502221,86.16017046,85.97246293,85.84880323,85.80471544,85.89849108,86.09243032,86.53006128,86.85257292,87.24529372,87.93788969,88.27346007,88.41502331,88.92351604,89.7117873,90.29108638,90.80467149,91.16440172,91.85046297,93.08020621,94.14515551,95.38254237,96.39889809,97.3765344,98.3276138,100,101.2069014,102.5671847,103.787444,105.0166288,105.8566414,106.2037272,106.2840368,106.2620403,106.2032388,106.1984619,106.144778,106.0342083,105.8248242,105.2855766,104.460611
Seoul,74.79675102,74.42002568,73.94435551,73.48170607,73.19712333,73.10726733,73.20760076,73.38011907,73.21826036,72.82957851,72.48405431,72.54989792,72.93420791,73.02219834,72.9996054,73.21236066,73.46226106,73.75041197,73.77644773,73.71261572,73.6605465,73.64103489,73.7257666,74.02118479,74.33628659,74.44145639,74.451906,74.55512277,74.78516403,75.17154486,75.73958615,76.1919759,76.71060997,77.12519171,77.5536747,78.07954767,78.60568545,79.11333524,79.44591279,79.48246228,79.48320245,79.47868732,79.55572251,79.72390741,79.99427453,80.27145139,80.58330768,80.90074162,81.45877623,81.91760422,82.02452048,82.04548796,82.10023727,82.23639893,82.46292937,82.83579575,83.65885068,84.07917365,84.5897962,84.58096017,84.79981381,85.16043895,85.87308495,87.02571033,88.23115362,88.90716192,89.23907362,89.4384495,89.6301889,89.93517471,90.67400716,92.34584174,92.88095717,92.92946749,92.77250852,92.39283284,92.05301027,91.68784784,91.37339024,91.19127437,91.10785555,91.1730793,91.3018848,91.46957963,92.01755937,92.65420276,93.80119768,94.22023947,94.33124556,94.42887014,94.33702371,94.14464523,94.26999696,95.32783617,95.84872691,96.13128974,96.24073117,96.35373,96.62563092,97.00963362,97.65759497,98.1348803,98.55717104,99.03033018,100,100.8116664,101.7399709,102.657125,103.5049153,104.1219087,104.3771723,104.3822122,104.2966941,104.2231777,104.2129401,104.2007588,104.118362,103.8852642,103.4149891,102.6361153
Gyeonggi,71.42238909,71.04552051,70.65397183,70.20242096,69.8922014,69.66624909,69.64358051,69.79370613,69.82700771,69.65960216,69.47974914,69.51791818,69.834342,70.00007996,70.14875529,70.3635518,70.62324457,70.96657534,70.94161528,70.87971716,70.85249653,70.84884215,70.96204203,71.37451079,71.67572975,71.88376363,72.0373836,72.20129251,72.50639262,72.89354777,73.5002114,73.97266545,74.44675133,74.79680554,75.12425569,75.50173535,75.93952276,76.28129165,76.44495081,76.48151598,76.48611184,76.47391493,76.4817442,76.52496499,76.62467758,76.70762636,76.80086404,76.88710782,77.07463123,77.25803071,77.3061738,77.31144129,77.31545094,77.34988029,77.43988611,77.55343556,77.69972148,77.90804027,78.22769102,78.36937556,78.49700922,78.62034441,78.6321876,78.67655643,78.85285287,79.00773229,79.11079885,79.10942844,79.06720525,79.00193982,78.98906486,79.41472752,79.81281642,79.99164025,79.95682522,79.79424779,79.63433659,79.40013489,78.9919045,78.677792,78.45229926,78.32844287,78.3125318,78.39230615,78.54880154,78.81386175,79.34874094,79.88095478,80.75084647,82.25835764,83.11017882,83.53390464,84.29209575,85.39193988,86.16851701,86.83768066,87.26921797,88.1531892,89.36040676,90.74069344,92.83087163,94.47648576,96.01600233,97.36890094,100,102.0256505,104.3036513,106.2712403,108.0456059,109.1040677,109.5012988,109.5133595,109.4178544,109.252622,109.1858706,109.0622766,108.8864308,108.5754384,107.8075575,106.6851764
Incheon,73.08989059,72.69271854,72.21954454,71.63558371,71.22715097,70.95612559,71.1017407,71.16736935,71.16809489,71.10334216,70.99838277,71.08133235,71.60595206,71.93065181,72.11305306,72.34850701,72.60405871,73.06343146,73.23386996,73.32917001,73.35925598,73.43425117,73.56935142,73.84064078,74.05333245,74.26520009,74.37963639,74.49246476,74.67870571,75.03281339,75.60553772,76.03289679,76.54191653,76.84777929,77.09296075,77.39125585,77.6782778,77.96147378,78.15991695,78.19222548,78.18425527,78.2161027,78.27486571,78.32692518,78.44339692,78.56411905,78.74042537,78.83721693,78.99171302,79.15722291,79.22107774,79.21084113,79.1441168,79.16524956,79.22036481,79.2814349,79.40353094,79.50457983,79.83066436,80.07869914,80.24542419,80.40866897,80.39762358,80.38927589,80.45292307,80.48178466,80.45828913,80.4037714,80.38031622,80.25703828,79.99972042,79.93120078,79.99114604,80.13314533,80.2942681,80.24742442,80.1559418,80.08801013,80.03437089,79.96385772,79.94215537,79.88914022,79.70394223,79.83844245,79.908861,80.12555075,80.50926745,80.67829025,81.10475313,83.08347477,84.33283782,85.04918316,85.99287708,86.54612184,86.72481992,86.93629425,87.14636689,87.59034694,88.21304957,89.17216921,90.75179895,92.63367328,94.73489602,96.81001244,100,102.0217342,104.032493,105.9628516,107.9794325,109.2669178,109.8369213,109.9250271,109.8717158,109.7451338,109.6920297,109.4429627,109.1635793,108.7571631,107.7164936,106.3401537
Busan,81.50045061,81.37476917,81.10543201,80.83968877,80.64660223,80.51750187,80.52919014,80.58946113,80.55281238,80.40703718,80.31781407,80.29499452,80.42657409,80.53576733,80.61169785,80.68973288,80.79403605,80.89594304,80.96620021,81.02220055,81.08035101,81.18258071,81.25977572,81.41668811,81.61789314,81.7980777,81.971292,82.06962761,82.24186925,82.58424735,83.01778942,83.35732534,83.79013355,84.07317199,84.27717051,84.59830192,85.04361337,85.61740737,85.90026559,85.9499155,86.02206674,86.08445314,86.23234491,86.36010586,86.55420561,86.78897391,87.17099116,87.57667262,88.27810092,89.03133514,89.48754186,89.75748244,89.94987393,90.10590675,90.35973777,90.71453261,91.07621886,91.32806062,91.51666449,91.52240584,91.48698849,91.42246187,91.30532714,91.13891595,90.94209465,90.74616885,90.4865646,90.22882887,89.92393464,89.63757481,89.21016038,88.91310178,88.68595723,88.39232574,88.04204525,87.7455119,87.51074726,87.22839867,86.84969299,86.5098223,86.1760811,85.8700772,85.62095689,85.37344431,85.15978446,85.16018188,85.63169795,85.80182095,85.85670687,85.85305591,85.7647376,85.70632004,85.7407682,86.39478839,86.90954955,87.57080724,88.11536376,89.6962068,92.40778859,94.1858278,95.4533175,96.26676833,96.97030348,97.96642741,100,101.0856155,102.2811406,103.3246328,104.5178031,105.3679717,105.629496,105.6997186,105.705208,105.7273862,105.8078366,105.8120787,105.7731703,105.6180202,105.1515321,104.3409865
Daegu,64.95215543,65.14923539,65.61889373,66.08263492,66.24715588,66.41775527,67.16066014,67.84758002,68.61705452,69.68036333,70.24509416,70.68070466,71.34848452,72.16444368,73.20598653,74.31139808,74.9551085,75.45425325,75.94933438,76.3132805,76.50350783,76.71968306,76.998038,77.39661602,77.81151574,78.40718518,78.9787208,79.42290011,79.85742918,80.3498515,81.24304334,82.0211757,82.93674147,83.48949215,84.11488445,84.98696575,85.65410381,86.09698521,86.08904017,85.90083058,85.65816352,85.34088935,85.01307224,84.8023542,84.43408662,84.21119516,83.91853803,83.71748516,83.61150087,83.53643007,83.40254327,83.29400498,83.15610438,83.05410953,82.92653706,82.73091205,82.65710011,82.66612065,83.05506273,83.34758574,83.54977418,83.73719119,83.87646214,84.08186198,84.21440843,84.35164184,84.63530122,84.84553655,84.93265813,85.03317806,85.18563281,85.44066977,85.90180667,86.27850309,86.52153276,86.55146903,86.54271083,86.50822656,86.41317569,86.35539172,86.24001181,86.11022333,85.99035717,85.95929398,86.05677667,86.209185,86.43999607,86.82760351,87.07022818,87.09278038,86.93644374,86.89121694,87.08620853,87.31547133,87.79979019,88.58523828,89.41384249,90.6373576,92.55709342,93.95331071,95.58681928,96.97815159,97.9948316,98.95181018,100,100.3894873,100.6594519,100.7653727,100.8086759,100.737514,100.5673538,100.2289952,99.81441491,99.13251332,98.50620971,97.74000928,97.01881615,96.48144419,95.6065987,94.6056661
Gwangju,81.72257311,81.836271,82.05862337,82.07944547,82.1663003,82.29796544,82.55458166,82.73005381,82.7998314,82.77245475,82.7255279,82.71801528,82.81174514,82.97968553,83.00489651,83.04223445,83.2719578,83.43705863,83.6201826,83.6643546,83.72820008,83.88287754,84.00397315,84.17482676,84.35511248,84.52018883,84.81879988,85.12220679,85.43924674,86.0706431,87.36632193,87.99412215,88.76708405,89.25011636,89.6296704,89.91480664,90.32322757,90.830107,91.02976016,91.09259452,91.10635647,91.14570373,91.25744531,91.24027776,91.18388041,91.10771057,91.05364992,91.03746452,91.10846653,91.19448006,91.25194662,91.33743463,91.35141756,91.33486412,91.37320965,91.41809924,91.34592203,91.43760727,91.53904534,91.68834872,91.88275444,91.93713052,91.99710068,92.13286385,92.31017757,92.52119937,92.68341105,92.85070974,92.93581634,93.10295274,93.33856232,93.94577915,94.57365457,94.86172826,95.20605944,95.34356927,95.41833911,95.42164831,95.38339328,95.26537488,95.11872441,94.95960954,94.83734085,94.76013187,94.7206069,94.75636686,94.79745518,94.86294299,94.9317883,94.95977633,94.93605539,94.8729164,94.81218143,94.8142756,94.84428167,94.90017206,94.94675075,95.15978487,96.38998405,97.01078773,97.44195305,97.81373416,98.31664091,98.8379645,100,100.8644189,101.8845026,102.8706471,104.0761581,105.059616,105.7050384,106.1543762,106.4064127,106.6347215,106.8436424,106.9995622,107.1072414,107.0641977,106.8978541,106.1887368
Daejeon,67.96058562,68.11816991,68.16701889,68.19944444,68.14001835,68.19270704,68.39311118,68.47717039,68.50730342,68.32837921,68.13937685,68.08441017,68.25362355,68.39114518,68.54309825,68.82933454,68.80089097,68.7684827,68.69471628,68.59164254,68.53773018,68.51735381,68.54786707,68.6822357,68.84112925,68.90948715,68.91621649,68.9500685,68.97575549,69.02459474,69.06226044,69.08859009,69.08446239,69.04575338,69.03406379,68.97228989,69.03257267,69.10991447,69.07527079,69.01989357,68.95583945,68.96587429,68.95446704,68.93619318,68.90656956,68.91464719,68.93762554,68.96683401,69.01629385,69.07744456,69.1330381,69.23295406,69.26875697,69.30990201,69.35960386,69.35147892,69.36739481,69.41378164,69.59988442,69.75673426,69.90250666,70.13508137,70.21144764,70.33362905,70.46191965,70.5468596,70.56803927,70.52910421,70.48807408,70.47560586,70.54122296,70.57284529,71.01970984,71.52726834,71.93999359,72.14892242,72.22180554,72.20693552,72.17459254,72.30236111,72.56747714,72.8288146,73.52483811,74.39461644,75.53826096,76.65070126,77.74403464,78.98957819,80.0798173,81.41305232,82.31784605,82.71865417,85.09134827,85.95736529,86.76347041,88.14936473,89.06038603,90.18768736,91.84425104,93.18598372,94.71964438,96.19360999,97.44158096,98.56930372,100,100.9941546,102.3347864,103.356704,104.4351648,105.1062715,105.2379807,105.0834571,104.8763903,104.6209683,104.3864351,104.1379811,103.9032648,103.5374427,102.7512887,101.4849619
Ulsan,92.76964814,93.07989545,92.81479666,92.70344944,92.53111492,92.3705155,92.4470403,92.48872425,92.61033205,92.6682702,92.51292065,92.48056319,92.73216913,92.98634021,93.02603884,93.05113271,93.22554293,93.4860682,93.74232012,94.02863956,94.51198434,95.00208485,95.36899832,95.69375621,95.94886759,96.19341205,96.45015435,96.56953476,96.80892413,97.00933192,97.4162666,97.75961613,98.20941695,98.55931674,98.82863424,99.28457758,99.71851379,100.1233376,100.468315,100.7115765,100.9397575,101.0398563,101.1541463,101.2905407,101.2652795,101.0936461,100.9074832,100.8868725,101.0214712,101.0574359,101.0133802,100.821756,100.6894739,100.6986509,100.6158845,100.4523579,100.2594923,100.1049638,99.82931366,99.67198109,99.4403187,99.01897506,98.67589157,98.17899379,97.71734351,97.33610536,96.74412355,95.73469652,94.89097376,93.91797304,92.75160615,91.95522686,90.98117499,89.94673439,88.87879679,88.04132453,87.5114237,86.97362997,86.31129281,85.85435431,85.43981078,85.09799575,84.86607005,84.69438299,84.811111,85.1115343,85.61780313,86.01700808,86.49021963,86.90871257,87.08224499,87.21086683,87.54650276,88.02554411,88.52234554,89.23528493,89.98614836,91.36019804,94.61174073,96.57788918,97.67617661,98.29386283,98.74289025,99.13647109,100,100.8851337,101.8407072,102.6970832,103.5509417,104.1564389,104.4139711,104.4921305,104.4134687,104.3174411,104.3173628,104.3793305,104.2930427,104.1123408,103.4563707,102.5443249
Sejong,,61.17948046,62.16159755,63.12944517,63.8469661,64.65202511,65.24967756,65.76459624,65.90031586,65.7721657,65.43605775,65.57143099,66.09777666,66.30502941,66.43020382,66.57517413,66.70822309,66.73020061,66.61335277,66.33197212,66.14411564,65.81731967,65.56044319,65.30652627,65.39610493,65.34350654,65.25997129,65.15941499,65.17889391,65.12647252,65.09636867,64.97480171,64.85896836,64.78232426,64.73004646,64.67285268,64.66783552,64.64330545,64.61133545,64.6156552,64.61133956,64.67986727,64.70864083,64.72307715,64.70548923,64.78294654,64.82300061,64.80881354,64.84244795,64.90088409,64.95548845,64.97227321,64.92782628,64.87147271,64.99862615,65.50748832,66.87346982,67.37506928,67.75989644,67.80106666,67.79340409,67.77863657,67.73107547,67.82484371,67.87323124,67.99695966,68.21024182,68.32211213,68.44050663,68.59935623,68.5629018,68.4473319,68.38796971,68.43933443,68.42744781,68.41973352,68.2849272,68.05309368,67.5138548,67.25682461,66.87284356,66.52406812,66.38934039,66.30438244,66.31402356,66.30191758,66.97951786,68.46382698,70.11273854,73.72143919,75.04873471,75.2991504,77.22103869,82.26229615,89.82781729,93.86617597,95.29742889,96.20751692,97.0709555,97.99296014,98.92844469,99.59533172,100.0284647,100.1495414,100,99.7946727,99.50520697,99.33885057,99.19348589,98.3779751,96.31065331,95.35691117,94.7239823,93.95542031,93.34771399,92.79120163,92.03573823,91.3397839,90.18997236,88.68988534
Gangwon,97.0543644,97.02098237,97.06432721,96.93214175,96.72176002,96.40847338,96.4630847,96.61373197,96.38042089,96.2556127,96.2269961,96.28606545,96.61206639,96.88875901,97.2532729,97.38325662,97.40512136,97.44348584,97.33489596,97.29459945,97.21989881,97.16090119,97.13521691,97.16755486,97.29267966,97.47141892,97.69989492,97.83351655,98.00926287,98.20251311,98.61444898,98.91532813,99.22212043,99.3433248,99.56285638,99.91075415,100.2898816,100.7611502,100.9947494,101.0838763,101.2151881,101.3468036,101.5035193,101.7117014,101.8428757,101.9494783,102.0892782,102.2392896,102.5365158,102.8205977,103.0494349,103.2150427,103.3531934,103.5962804,103.9883763,104.3107379,104.499829,104.7130007,104.9048587,105.1395709,105.3679673,105.5525175,105.4883868,105.3052602,105.2840465,105.3360317,105.0656038,104.6309985,104.0297892,103.4768242,102.8874686,102.4266457,101.8185639,101.1238075,100.3744734,99.90119677,99.49798144,98.9581163,98.47499912,97.69157431,97.08960901,96.37838924,95.52792373,94.7410774,94.39485587,94.15371359,93.76303349,93.49131741,93.3685703,93.43260739,93.39691289,93.43883236,93.58771057,94.11734495,94.38209581,94.61122506,94.94600514,95.32365655,95.78958184,96.54089637,97.27959253,97.96245838,98.63260209,99.16661687,100,100.7411599,101.7328211,102.6744364,103.6415098,104.5535586,105.0938457,105.3645234,105.582459,105.7942312,106.0849436,106.3142621,106.455492,106.4956249,106.490488,106.3195341
Chungbuk,98.16731647,98.38112046,98.54225109,98.46012094,98.50384685,98.52013331,98.83334983,98.94314786,99.01655774,99.09023041,99.11855455,99.24117133,99.38014048,99.64364347,99.95029415,100.2831795,100.4693829,100.7411768,100.9376275,101.1211972,101.3443829,101.6862268,101.8501766,102.2325878,102.7606405,103.3154647,103.7333451,104.0066218,104.3884736,104.9003835,105.362697,105.5146374,105.6573899,105.6744147,105.8811302,106.0670887,106.1098781,105.9979363,105.9646191,105.8876452,105.8450244,105.7275019,105.5868853,105.4889769,105.2489535,104.9763299,104.7495298,104.6311575,104.5296765,104.4811134,104.41017,104.319482,104.2408791,104.1253394,103.9336284,103.7680947,103.588398,103.371826,103.1218031,102.8118103,102.6551651,102.4744754,102.2837658,101.8938697,101.4477549,101.157592,100.6313352,100.0284869,99.50886582,99.00622433,98.39505957,97.93110135,97.26447351,96.69540094,96.07639996,95.40145671,94.97058854,94.43205744,93.70820669,93.06452169,92.31855517,91.74845971,91.24165145,90.85890055,90.46061824,90.15601616,90.08672895,90.09397095,90.08681719,90.22183311,90.22854545,90.44377044,92.80491961,93.4891456,93.61539681,93.61425849,93.6568491,93.92982825,94.75926736,95.36563083,96.06887161,96.84894323,97.69178456,98.56569615,100,101.0926437,102.3525023,103.5795026,105.2259297,106.4032246,106.9172606,107.1843526,107.3358997,107.4311986,107.5254077,107.6910534,107.7162009,107.6950834,107.4429646,107.0608396
Chungnam,92.17915142,92.55234938,93.27277297,93.7453141,93.91332959,94.12871216,94.37171086,94.77886222,95.03760332,95.25440894,95.35054955,95.54948987,96.17016842,96.94083743,97.50030578,98.05776213,98.34394659,98.81993015,99.29655675,99.5513215,99.91515395,100.2771063,100.4923228,100.7275578,101.2181655,101.5543999,101.773369,101.9742334,102.1202143,102.2520662,102.4824488,102.5999672,102.6558106,102.5891766,102.5764469,102.5844775,102.5825853,102.6449784,102.4716218,102.2941521,101.9617391,101.7311226,101.4007701,101.0730447,100.7700528,100.4381955,100.1071317,100.0025492,99.77952317,99.45918029,99.26318066,99.09018568,98.86405063,98.70535157,98.34017213,98.05315702,97.78453331,97.67477137,97.40503031,97.23000544,97.10696297,96.83382673,96.64950321,96.37816391,95.97431812,95.54205773,95.03087851,94.51039726,94.12095816,93.77689105,93.33040979,93.15504267,92.83715637,92.54099939,92.17888778,91.81591483,91.50021589,91.07256944,90.65587468,90.32765563,90.07626673,89.80156821,89.53837335,89.35856091,89.26542239,89.21368162,89.26633096,89.29797899,89.36090902,89.40103534,89.33686554,89.33531424,89.45532552,90.33160163,91.16197891,91.85860753,92.30646205,92.93741762,94.08027439,95.1022512,95.99260559,96.84845744,97.89589176,98.81485406,100,101.016943,102.2235912,103.4324934,104.928443,106.0093092,106.6867776,107.0391166,107.1209748,107.1540349,107.0426647,106.8121089,106.6736519,106.5692391,106.3053356,105.9046594
Jeonbuk,103.5919252,102.9026635,101.8572402,101.0933063,101.013437,100.835267,100.8498688,100.7842734,100.5221782,100.2831196,100.1097552,99.96649381,100.0382152,100.1518056,100.2209195,100.2103761,100.1081929,100.174088,100.0544558,99.92947085,99.78761148,99.59387523,99.47965389,99.51870802,99.55714309,99.55466811,99.45239413,99.39568096,99.39865835,99.48404101,99.52099671,99.47007915,99.428805,99.45387523,99.59137378,99.7857169,99.8979324,99.97488722,99.99735971,99.95252978,99.88803042,99.79674763,99.77715989,99.74434172,99.6985196,99.68755362,99.64164742,99.61269206,99.64935984,99.71717027,99.8233323,99.85662498,99.92189991,100.0204991,100.1350441,100.2441766,100.3660686,100.5031026,100.7125641,100.8670763,101.0566868,101.2030448,101.2923808,101.2115721,101.0671683,100.8812415,100.7628856,100.4814862,100.1556067,99.85199399,99.65102934,99.6048954,99.5672823,99.50664754,99.37613889,99.09397139,98.88768618,98.51980274,98.02836486,97.66932534,97.25789532,96.87695095,96.48249551,95.98721686,95.72933596,95.42161511,95.23697311,95.22145255,95.23104612,95.29718482,95.34414453,95.34316841,95.42520017,95.67108955,95.77956253,96.00622978,96.24227903,96.52573255,97.6611423,97.94845529,98.07357799,98.24452696,98.62390665,99.05061262,100,100.9934543,102.031264,103.1160015,104.0078193,104.8455457,105.3553637,105.7455773,105.9758102,106.3481401,106.8429066,107.4817027,107.9721683,108.4079875,108.4812514,108.3464484
Jeonnam,95.44688706,95.10071766,94.94484058,94.89505729,94.6361249,94.44719328,94.2188907,94.08128057,93.92409402,93.6146306,93.35850472,93.1589809,93.12989608,93.02050895,92.89595601,92.68351041,92.56814304,92.36578197,92.34914254,92.19631028,91.98945407,91.70899244,91.5004094,91.47015734,91.40320671,91.33833269,91.20582985,91.12272543,90.88172692,90.86212449,90.91201033,90.90974337,91.05057265,91.14712641,91.24189916,91.33750018,91.47781563,91.76785588,91.93472991,92.09502126,92.19992332,92.26515346,92.39490927,92.57497398,92.59104102,92.71265273,92.86030279,92.92924067,93.07723752,93.24793478,93.41400386,93.51106109,93.54244435,93.64795442,93.79017382,94.01186506,94.22318056,94.3696807,94.6955049,94.89243941,95.09009806,95.3501077,95.47636407,95.69657952,95.94755818,96.11341256,96.2167752,96.17809801,96.17775445,96.23846063,96.40326438,96.51851227,96.72768892,96.9925139,97.1426867,97.22259779,97.25944264,97.27820346,97.35909341,97.30252868,97.24177551,97.17654457,97.20876939,97.19996055,97.25934216,97.26989556,97.21926314,97.2702492,97.31353596,97.3062297,97.2281558,97.19058707,97.29175374,97.44127911,97.70775669,97.85932055,98.13278181,98.48765336,98.85110555,99.03627943,99.13259889,99.18699455,99.33032246,99.48822544,100,100.3693384,100.8448999,101.348566,101.6985687,101.9628302,102.0933005,102.1073809,102.0509623,101.912481,101.8090033,101.6693119,101.4040071,101.1847446,100.8682687,100.4618057
Gyeongbuk,94.05683863,94.56300076,95.07670872,95.69708011,96.15792945,96.78666014,97.46776925,98.32842743,99.10224018,100.3483963,100.9058082,101.5663733,102.5429267,103.3320269,104.2330488,105.8813371,106.8688251,107.5265619,108.0980539,108.5057516,108.831409,109.06521,109.3153573,109.6767165,110.1451206,110.602936,111.0911668,111.5483849,111.971639,112.5318236,113.031901,113.3919535,113.889643,114.0853183,114.4611373,114.9764033,115.2152901,115.305988,115.1091746,114.9141246,114.7139487,114.3367517,113.9513057,113.4232368,112.8366884,112.2091446,111.6610545,111.2030538,110.9322636,110.5706979,110.0898415,109.8384756,109.4990776,109.1341442,108.6733364,108.2790643,107.9817003,107.5846235,107.2042242,106.8524881,106.3605702,105.9031757,105.4911749,104.9907249,104.637239,104.2508912,103.7700529,103.2643713,102.8157305,102.392727,101.741251,101.0999209,100.542888,100.0056537,99.25994396,98.64772087,98.12400275,97.61340079,96.84926477,96.27607704,95.72966945,95.28286816,94.79897616,94.3581545,93.99840412,93.69684729,93.35700338,93.05723008,92.91857663,92.78394508,92.60164047,92.45632834,92.35359883,92.66391696,93.11193378,93.40672489,93.53177862,93.79627695,94.65509117,95.84528854,96.83850497,97.51591948,98.19305503,99.00608178,100,100.683781,101.4966371,102.1065205,102.8834289,103.5214903,103.983232,104.2639371,104.3863179,104.4508412,104.6225452,104.7236168,104.764383,104.7163059,104.5443124,104.2346312
Gyeongnam,107.2742601,107.1759593,106.8193893,106.4300495,106.2074545,106.1960271,106.5072116,106.7487793,106.8423448,106.8003102,106.6928622,106.7473418,106.9652305,107.0938096,107.1914427,107.3173664,107.4535833,107.6598459,107.9143664,108.1278734,108.2917863,108.5011275,108.7525633,109.0370672,109.4454991,109.7453253,110.0694125,110.2778008,110.4683674,110.6803932,110.9589993,111.1802858,111.4088218,111.5378546,111.6662978,111.917609,112.0882126,112.2479679,112.3983154,112.3819229,112.346053,112.2997501,112.2664231,112.1781573,112.0415133,111.9022489,111.770252,111.6267774,111.4476371,111.2882718,110.9908649,110.8637391,110.7654051,110.7290009,110.4871129,110.2199939,109.8975798,109.4985796,108.9327459,108.4537793,107.9149306,107.1648531,106.7672713,106.1609575,105.6157377,105.10976,104.4928883,103.4959943,102.6865627,101.8161402,100.6514039,99.73645534,98.90342069,98.2910155,97.50332122,96.86371428,96.39451987,95.9559493,95.43757525,94.94256108,94.41921028,93.73728284,93.12020708,92.57929493,92.16950604,91.9923881,92.09723614,92.15602424,92.32077616,92.47749116,92.51219521,92.41568668,92.6030152,93.1266549,93.3777119,93.53540503,93.6402063,94.1745628,96.10134349,97.12853314,97.653434,98.1083256,98.66066385,99.20258434,100,100.6034089,101.4800262,102.3850827,103.6569322,104.8354084,105.4175811,105.7307926,106.0270736,106.4204297,106.7677639,107.0578605,107.237035,107.226423,106.9472213,106.4899482
Jeju,80.11259816,80.05288127,79.64268539,79.43170087,79.41344757,79.37812061,79.52283144,79.48241693,79.5135834,79.50412852,79.30951122,79.12557524,79.09068775,79.06186999,79.17993072,79.59885011,79.82957663,79.67657039,79.60304278,79.69770106,79.50241056,79.54698296,79.70803164,79.98499426,80.38507916,80.70741129,81.74509542,82.77062256,83.37460882,84.00201178,84.6534593,85.28112185,85.816371,86.658026,87.39240424,88.29197175,89.016104,90.25841459,93.00246245,95.22183913,96.92382146,97.66690136,97.85914603,97.84135631,97.82150156,97.86839217,97.96229556,98.31845374,98.62629045,99.23161389,99.72663924,100.0660118,100.2050844,100.2117957,100.2455352,100.1628774,99.98617088,99.97117007,100.2849094,100.2910291,100.2647381,100.2962745,100.136818,99.66118518,99.60236457,99.6555523,99.28218351,98.9614468,98.91187039,98.76965352,98.13093713,97.82313302,97.58084675,97.3618983,97.20880634,96.89359289,96.72247018,96.54444135,96.37614951,96.28835803,96.18983411,95.74495962,95.34295085,94.86971124,94.4567196,94.02535836,93.65108789,93.38633292,93.1581172,92.98030646,92.74222303,92.41450083,92.18384669,91.98793478,91.90032634,91.82458194,91.73712889,91.71316667,91.82678009,92.2457261,92.82412144,93.23996588,93.79596956,95.68652709,100,101.8982348,104.2341078,105.6109438,107.0843758,108.2239359,108.8102948,109.1740824,109.4603359,109.6909561,109.8364475,110.0103301,110.2258266,110.2723589,110.1939122,109.9667794