Region,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Seoul,1543045,1577800,1578972,1636896,1641383,1665922,1679639,1720691,1772670,1818214
Busan,659821,683785,710774,738068,750122,776079,798281,831294,860042,872073
Daegu,470836,483089,491094,509068,532090,555900,567543,579777,595392,605787
Incheon,535724,546726,561079,577346,588563,597929,624332,648403,661611,683337
Gwangju,348622,356907,369526,376731,384750,395976,406329,419567,432295,438338
Daejeon,313705,319326,330512,338250,343223,348033,355517,362190,367235,373590
Ulsan,223734,228648,241970,253010,256003,264440,273230,286234,289432,291892
Sejong,20957,21828,41780,62274,67773,85256,99512,112722,117312,124375
Gyeonggi,2323247,2371924,2426560,2502091,2577259,2676037,2860249,3021258,3146667,3254817
Gangwon,275592,278358,287031,297005,300788,307839,322796,346389,360950,370287
Chungbuk,279576,285720,295538,308352,316851,327319,351577,369668,383130,392988
Chungnam,345518,354866,366861,382323,402808,426251,453830,467790,481332,490513
Jeonbuk,335645,342814,353549,364712,370071,374491,389225,401005,416861,424658
Jeonnam,264808,275952,291090,306661,316137,324257,335966,346990,359690,369551
Gyeongbuk,409120,418332,427860,449154,461577,485196,507230,529133,541246,551145
Gyeongnam,576119,594703,615781,641589,654679,694326,726589,767442,797850,807613
Jeju,51066,57211,58908,62532,65567,70112,74199,76495,78136,79366